Reference No *,Customer Name *,Mobile Number *,Email,GST Number,Contact Person,Country *,State *,City *,Address 1 *,Address 2,Address 3,Postal Code,Site Name,Billing Country *,Billing State *,Billing City *,Billing Address 1 *,Billing Address 2,Billing Address 3,Billing Postal Code,Billing Mobile Number *,Billing Email,Billing Contact Person,Shipping Country *,Shipping State *,Shipping  City *,Shipping Address 1 *,Shipping Address 2,Shipping Address 3,Shipping Postal Code,Shipping Mobile Number *,Shipping Email,Shipping Contact Person
1001,STACKTRAIL CASH & CARRY PVT LTD ( BLR ),8890615239,aanirudh.razdan@udaan.com,29ABBCS8764Q1Z9,Aanirudh Razdan,India,Karnataka,Bangalore,BANGALORE ICSC WAREHOUSE SY NO.44,"KANCHARAKANAHALLI, JADIGENAHALLI",HOSKOTE TALUK,562114,STACKTRAIL CASH & CARRY PVT LTD ( BLR ),India,Karnataka,Bangalore,BANGALORE ICSC WAREHOUSE SY NO.44,"KANCHARAKANAHALLI, JADIGENAHALLI",HOSKOTE TALUK,562114,8890615239,aanirudh.razdan@udaan.com,Aanirudh Razdan,India,Karnataka,Bangalore,BANGALORE ICSC WAREHOUSE SY NO.44,"KANCHARAKANAHALLI, JADIGENAHALLI",HOSKOTE TALUK,562114,8890615239,aanirudh.razdan@udaan.com,Aanirudh Razdan
1002,AIMS ENTERPRISES,9880743280,,29AFPPA1780D1ZJ,Ashok,India,Karnataka,Hubli-Dharwad,"PLOT NO:74 , 1ST STAGE, 5TH CROSS,CHETHANA COLONY","GANDHIWADA, KESHWAPUR ",Hubli-Dharwad,580023,AIMS ENTERPRISES,India,Karnataka,Hubli-Dharwad,"PLOT NO:74 , 1ST STAGE, 5TH CROSS,CHETHANA COLONY","GANDHIWADA, KESHWAPUR ",Hubli-Dharwad,580023,9880743280,,Ashok,India,Karnataka,Hubli-Dharwad,"PLOT NO:74 , 1ST STAGE, 5TH CROSS,CHETHANA COLONY","GANDHIWADA, KESHWAPUR ",Hubli-Dharwad,580023,9880743280,,Ashok
1003,Rallison Kitchen Appliances,9844112782,,29ACUPJ4676K1ZN,Bharath jain,India,Karnataka,Bangalore,"Plot #28,Survey # 158/2,, Rallison House,Kolur Road","Chikkellur Cross,Dodda Aladamara Road,","Kumbaigudu,Off Mysore Road",560074,Rallison Kitchen Appliances,India,Karnataka,Bangalore,"Plot #28,Survey # 158/2,, Rallison House,Kolur Road","Chikkellur Cross,Dodda Aladamara Road,","Kumbaigudu,Off Mysore Road",560074,9844112782,,Bharath jain,India,Karnataka,Bangalore,"Plot #28,Survey # 158/2,, Rallison House,Kolur Road","Chikkellur Cross,Dodda Aladamara Road,","Kumbaigudu,Off Mysore Road",560074,9844112782,,Bharath jain
1004,BLOSSOM APPLIANCES PRIVATE LIMITED,9033388895,,24AAFCB1048K1ZV,Prince Mehta,India,Gujarat, AHMEDABAD,"A-171,PUSHP INDUSTRIAL PARK","NR PATEL MILL NEW RAJPUR MILL COMPOUND,",RAKHIYAL,380021,BLOSSOM APPLIANCES PRIVATE LIMITED,India,Gujarat, AHMEDABAD,"A-171,PUSHP INDUSTRIAL PARK","NR PATEL MILL NEW RAJPUR MILL COMPOUND,",RAKHIYAL,380021,9033388895,,Prince Mehta,India,Gujarat, AHMEDABAD,"A-171,PUSHP INDUSTRIAL PARK","NR PATEL MILL NEW RAJPUR MILL COMPOUND,",RAKHIYAL,380021,9033388895,,Prince Mehta
1005,D M TECHNOLOGY PVT LTD,8450979537,,27AAECV3623R1ZR,Ganesh malani,India,Maharastra,MUMBAI,"NO 17/1, CAMA INDL ESTATE",WALBHAT ROAD,GOREGAON EAST,400063,D M TECHNOLOGY PVT LTD,India,Maharastra,MUMBAI,"NO 17/1, CAMA INDL ESTATE",WALBHAT ROAD,GOREGAON EAST,400063,8450979537,,Ganesh malani,India,Maharstra,Vasai,"GALA NO 5,UPADHYA COMPOUND","JADHAV WADI,KAMAN",BIWANDI ROAD,401208,8450979537,,Ganesh malani
1006,SONA AGENCIES,8261099233,,27EODPS8226H2ZI,Shrenik Shah,India,Maharastra,Nagpur,Jagnath Budhwari Road,Bhrat Mata Chowk,,440002,SONA AGENCIES,India,Maharastra,Nagpur,Jagnath Budhwari Road,Bhrat Mata Chowk,,440002,8261099233,,Shrenik Shah,India,Maharastra,Nagpur,Jagnath Budhwari Road,Bhrat Mata Chowk,,440002,8261099233,,Shrenik Shah
1007,LAKSHMI METAL INDUSTRIES,6379328320,,33AAEFL4992L1ZW,Anand raj,India,Tamil Nadu,Thirunelveli,B SUPER 4 INDUSTRIAL ESTATE,PETTAI,,627010,LAKSHMI METAL INDUSTRIES,India,Tamil Nadu,Thirunelveli,B SUPER 4 INDUSTRIAL ESTATE,PETTAI,,627010,6379328320,,Anand raj,India,Tamil Nadu,Thirunelveli,B SUPER 4 INDUSTRIAL ESTATE,PETTAI,,627010,6379328320,,Anand raj
1008,NIJANAND INDUSTRIES,9712939262,,24AALFN4886G1ZW,PP Krishnakumar Nair,India,Gujarat,Himatnagar,"Survey no 479/3, Opp. H.P.Petrol Pump","Near Ashirwad Hotel, N.H-8","At&po: Dalpur, Sabarkantha",383001,NIJANAND INDUSTRIES,India,Gujarat,Himatnagar,"Survey no 479/3, Opp. H.P.Petrol Pump","Near Ashirwad Hotel, N.H-8","At&po: Dalpur, Sabarkantha",383001,9712939262,,PP Krishnakumar Nair,India,Gujarat,Himatnagar,"Survey no 479/3, Opp. H.P.Petrol Pump","Near Ashirwad Hotel, N.H-8","At&po: Dalpur, Sabarkantha",383001,9712939262,,PP Krishnakumar Nair
1009,PEARL ASSOCIATES,7559890111,,32AARFP8844J1ZM,Varis EC,India,Kerala,Mallapuram,"FATHIMAS TOWER,","PALLIPURAM ROAD,","KOOTTILANGADI,",676506,PEARL ASSOCIATES,India,Kerala,Mallapuram,"FATHIMAS TOWER,","PALLIPURAM ROAD,","KOOTTILANGADI,",676506,7559890111,,Varis EC,India,Kerala,Mallapuram,"FATHIMAS TOWER,","PALLIPURAM ROAD,","KOOTTILANGADI,",676506,7559890111,,Varis EC
1010,ANJALI KITCHENWARE PVT LTD,9322391093,,27AAGCA2518J1ZQ,,India,Maharastra,Vasai,"Gala No:1,2,3 1-St Flr 4/5 ,","Shree Siddhivinayaka, Ind Estate, Behind Computerk","Kata,Golani Naka, Waliv, Vasai East, Dist.",401208,ANJALI KITCHENWARE PVT LTD,India,Maharastra,Vasai,"Gala No:1,2,3 1-St Flr 4/5 ,","Shree Siddhivinayaka, Ind Estate, Behind Computerk","Kata,Golani Naka, Waliv, Vasai East, Dist.",401208,9322391093,,,India,Maharastra,Vasai,"Gala No:1,2,3 1-St Flr 4/5 ,","Shree Siddhivinayaka, Ind Estate, Behind Computerk","Kata,Golani Naka, Waliv, Vasai East, Dist.",401208,9322391093,,
